rule,threshold,precision,recall,f1,tp,fp,fn,tn,flagged
benford_p05,0.0,0.0335,1.0,0.0647,1720,49700,0,0,51420
benford_p05,4.2547,0.0178,0.5174,0.0344,890,49124,830,576,50014
benford_p05,5.8001,0.0177,0.5081,0.0342,874,48507,846,1193,49381
benford_p05,6.6444,0.0173,0.4895,0.0334,842,47811,878,1889,48653
benford_p05,7.4571,0.0173,0.4831,0.0334,831,47223,889,2477,48054
benford_p05,7.9452,0.0172,0.4756,0.0333,818,46617,902,3083,47435
benford_p05,8.3657,0.0173,0.4692,0.0333,807,45968,913,3732,46775
benford_p05,8.7518,0.0172,0.4605,0.0331,792,45302,928,4398,46094
benford_p05,8.9809,0.0171,0.4523,0.033,778,44696,942,5004,45474
benford_p05,9.2477,0.0172,0.4477,0.0331,770,44072,950,5628,44842
benford_p05,9.7005,0.0172,0.4407,0.0331,758,43272,962,6428,44030
benford_p05,10.1034,0.0172,0.4355,0.0331,749,42739,971,6961,43488
benford_p05,10.6359,0.0171,0.4244,0.0328,730,42084,990,7616,42814
benford_p05,11.2374,0.0169,0.4122,0.0326,709,41124,1011,8576,41833
benford_p05,11.6884,0.0169,0.4023,0.0324,692,40365,1028,9335,41057
benford_p05,12.112,0.0163,0.3831,0.0314,659,39661,1061,10039,40320
benford_p05,13.1686,0.0165,0.3791,0.0316,652,38860,1068,10840,39512
benford_p05,13.569,0.0159,0.3576,0.0304,615,38103,1105,11597,38718
benford_p05,13.9552,0.0157,0.3465,0.0301,596,37253,1124,12447,37849
benford_p05,14.4063,0.0156,0.3378,0.0298,581,36647,1139,13053,37228
benford_p05,14.9281,0.0158,0.3326,0.0301,572,35743,1148,13957,36315
benford_p05,15.5839,0.0154,0.3174,0.0293,546,35002,1174,14698,35548
benford_p05,16.232,0.0154,0.3081,0.0294,530,33855,1190,15845,34385
benford_p05,16.7182,0.0151,0.2953,0.0288,508,33026,1212,16674,33534
benford_p05,17.1154,0.0151,0.2872,0.0287,494,32265,1226,17435,32759
benford_p05,17.716,0.015,0.2779,0.0285,478,31396,1242,18304,31874
benford_p05,18.4228,0.0152,0.2709,0.0288,466,30121,1254,19579,30587
benford_p05,19.3907,0.015,0.257,0.0283,442,29030,1278,20670,29472
benford_p05,20.5647,0.0142,0.2355,0.0268,405,28058,1315,21642,28463
benford_p05,22.6662,0.0142,0.2279,0.0267,392,27266,1328,22434,27658
benford_p05,24.1998,0.0141,0.2151,0.0264,370,25912,1350,23788,26282
benford_p05,25.8844,0.0141,0.207,0.0264,356,24930,1364,24770,25286
benford_p05,27.6117,0.0138,0.1907,0.0258,328,23386,1392,26314,23714
benford_p05,31.5494,0.0129,0.1634,0.0238,281,21581,1439,28119,21862
benford_p05,34.6261,0.013,0.1512,0.0239,260,19736,1460,29964,19996
benford_p05,39.7114,0.0128,0.1343,0.0234,231,17762,1489,31938,17993
benford_p05,43.8915,0.0128,0.118,0.023,203,15700,1517,34000,15903
benford_p05,62.786,0.0124,0.1006,0.0221,173,13767,1547,35933,13940
benford_p05,92.4161,0.0126,0.0849,0.022,146,11435,1574,38265,11581
benford_p05,665.9212,0.0153,0.0436,0.0226,75,4835,1645,44865,4910
shell_composite,0.0,0.0335,1.0,0.0647,1720,49700,0,0,51420
shell_composite,1.0,0.0358,0.9512,0.0691,1636,44020,84,5680,45656
shell_composite,4.0,1.0,0.5349,0.697,920,0,800,49700,920
shell_composite,5.0,1.0,0.4395,0.6107,756,0,964,49700,756
shell_composite,6.0,1.0,0.1238,0.2204,213,0,1507,49700,213
threshold_gaming,0.0,0.0335,1.0,0.0647,1720,49700,0,0,51420
threshold_gaming,1.0,0.1654,0.1174,0.1374,202,1019,1518,48681,1221
threshold_gaming,2.0,0.052,0.0076,0.0132,13,237,1707,49463,250
threshold_gaming,3.0,0.0083,0.0006,0.0011,1,119,1719,49581,120
threshold_gaming,4.0,0.0,0.0,0.0,0,81,1720,49619,81
threshold_gaming,5.0,0.0,0.0,0.0,0,61,1720,49639,61
threshold_gaming,6.0,0.0,0.0,0.0,0,51,1720,49649,51
threshold_gaming,7.0,0.0,0.0,0.0,0,27,1720,49673,27
threshold_gaming,9.0,0.0,0.0,0.0,0,20,1720,49680,20
threshold_gaming,11.0,0.0,0.0,0.0,0,11,1720,49689,11
